age,salary,credit_score,loan_amount,existing_loans,employment_years,monthly_income,repayment_history,approval_decision
48,172315.72,843,875121.31,2,25.8,13790.27,93,approved
58,64650.02,728,211310.51,2,16.6,5178.79,97,approved
49,49565.21,783,257262.06,3,17.4,4063.49,77,approved
64,162265.69,791,763049.65,1,34.7,13292.08,79,approved
26,36591.04,770,81309.81,2,7.7,2952.67,67,approved
56,168749.54,783,452103.82,1,32.9,14445.9,81,approved
46,168753.47,846,677359.64,2,15.7,13939.9,91,approved
63,148568.23,724,284011.09,1,28.9,11790.54,63,approved
26,65324.39,676,205580.24,0,7.6,5706.43,84,approved
63,174622.22,758,679559.47,3,16.8,14115.45,82,approved
44,71993.91,667,233147.61,0,7.9,6024.72,70,manual_review
25,72985.29,474,255845.99,2,4.1,6112.31,17,approved
45,49454.76,734,244314.49,2,16.7,4028.4,77,approved
48,66793.14,697,244020.4,2,4.4,5528.91,69,approved
56,65995.14,482,147597.29,0,24.1,5247.94,32,manual_review
40,117226.31,677,288557.55,3,8.4,10116.53,49,approved
38,57297.48,675,171619.79,1,9.1,4712.85,80,approved
32,68614.02,811,275689.68,5,12.2,5572.35,93,approved
45,197832.3,704,799173.58,4,13.6,15859.31,66,manual_review
37,84717.75,745,183377.53,1,15.2,7212.93,81,approved
55,150186.51,818,703823.02,2,26.8,12715.64,83,approved
50,170987.14,780,620959.64,1,21.0,13896.87,96,approved
42,174433.33,819,521044.25,0,20.4,15072.93,100,approved
51,64716.87,783,337372.83,0,16.5,5353.74,93,approved
51,47699.11,775,233994.76,1,17.0,4122.41,94,manual_review
42,97341.83,766,373071.29,0,16.1,7785.53,89,approved
51,103572.6,751,154604.69,0,9.6,9046.26,70,approved
34,55924.45,804,159268.16,2,11.1,4545.35,100,approved
43,62067.66,740,128140.37,3,18.5,5236.66,77,approved
44,157026.89,653,443443.44,2,16.2,13086.29,58,approved
31,40138.78,777,124059.21,0,4.4,3500.4,99,approved
38,52706.15,680,152291.61,0,13.2,4494.2,55,approved
25,78679.07,703,168309.02,1,4.0,6447.37,81,approved
33,117676.64,718,644835.88,4,8.1,9372.4,72,manual_review
57,51159.32,756,269153.67,0,23.2,4281.78,79,manual_review
64,109101.48,823,585183.92,3,19.1,8721.67,100,approved
37,70403.94,729,277331.23,1,17.0,5784.65,70,approved
35,33095.63,636,70099.98,1,12.9,2777.47,66,approved
30,74352.99,688,140818.11,2,4.2,6261.0,70,approved
25,27169.98,737,76714.78,4,6.6,2353.59,82,manual_review
27,44880.18,721,111917.13,1,6.7,3824.38,66,approved
33,172299.98,742,500595.7,2,11.3,14985.94,73,approved
31,108391.03,810,175352.74,1,6.6,8602.2,77,approved
50,165662.03,741,467221.46,0,15.2,13488.97,89,approved
41,55983.48,791,279563.52,3,10.0,4482.26,94,approved
37,74057.32,674,208144.42,1,6.2,6169.5,56,approved
56,54278.38,791,188897.15,0,26.4,4712.45,92,approved
49,139854.19,837,611949.64,1,13.4,11739.17,86,approved
34,61434.51,791,305531.48,3,11.7,4869.11,71,approved
63,112657.86,708,253436.26,4,31.7,9625.22,62,approved
46,75714.87,716,127478.5,2,24.9,6444.12,73,approved
24,41736.04,800,220360.93,0,4.3,3648.51,100,approved
44,123186.0,817,739725.75,1,16.3,9782.78,100,approved
65,173486.72,692,610183.01,2,24.0,13808.76,51,approved
47,143370.14,743,582886.32,2,16.5,11450.54,78,approved
46,110109.55,848,391447.28,2,8.4,9500.41,74,approved
57,82254.76,774,252098.86,3,27.4,6954.61,82,approved
50,147699.8,691,457438.62,3,20.9,12851.66,79,approved
22,55455.61,728,141856.94,2,3.5,4646.68,70,approved
56,77898.3,784,440120.79,1,32.8,6188.39,100,approved
41,170704.68,845,851675.29,0,16.0,13946.57,99,approved
41,100106.71,701,245749.48,0,19.9,8401.7,67,approved
40,30444.05,842,78840.35,1,14.3,2422.25,100,approved
26,51235.4,661,147830.49,3,6.8,4145.99,60,approved
25,71870.23,676,177113.57,3,3.9,5752.25,62,approved
50,82079.36,816,143384.42,1,14.6,6987.06,92,approved
47,159965.13,728,559778.93,3,16.1,13291.92,63,approved
40,52318.87,667,135428.16,1,8.0,4547.08,68,approved
30,40348.18,376,72992.88,1,4.0,3279.51,29,manual_review
28,40335.47,639,66922.64,1,2.7,3369.83,57,approved
41,35418.45,552,139493.71,3,6.8,3033.35,47,approved
55,149893.5,757,480506.13,4,18.0,12816.54,62,approved
48,48290.04,794,156208.74,2,23.9,4123.23,95,manual_review
33,106395.12,368,115204.44,0,9.1,9206.43,0,approved
56,70169.54,685,321400.12,0,27.9,5578.3,60,manual_review
30,32455.2,685,47484.81,0,9.7,2741.88,69,approved
56,65681.87,843,160563.24,2,29.7,5352.09,98,approved
37,64336.03,673,164758.33,3,12.9,5547.58,54,approved
55,85388.35,707,167416.51,0,28.2,6791.1,86,approved
28,30082.26,647,27476.35,1,4.8,2552.83,79,manual_review
57,168047.21,816,701601.24,2,18.5,14183.0,88,approved
44,92565.76,733,128831.82,1,17.6,7902.42,75,approved
56,107153.2,694,195142.4,1,16.1,9089.69,62,approved
31,35624.79,794,132310.55,4,8.7,2878.82,73,approved
27,64015.18,763,151058.46,1,1.9,5599.91,85,approved
37,183101.07,762,375087.53,4,9.0,14505.82,74,approved
64,122904.34,820,371103.72,5,14.7,10152.96,80,approved
29,84404.61,724,254510.41,2,6.0,6774.88,75,approved
51,115647.65,595,235915.43,1,19.8,9236.14,47,approved
62,143764.68,836,607951.53,0,23.4,11470.75,100,approved
49,156030.9,752,496522.24,1,27.4,12733.39,98,approved
57,68301.8,746,150448.1,0,15.6,5754.5,86,approved
40,72941.37,646,87771.73,1,11.6,6354.05,65,approved
58,175441.58,645,266352.86,0,32.1,14606.48,69,approved
37,64514.52,545,143006.67,2,16.0,5347.41,34,approved
51,184062.37,718,701168.25,1,21.6,15758.86,73,approved
30,82863.33,676,250203.82,0,6.4,6852.7,65,approved
64,81953.36,763,192843.39,2,21.4,6946.67,100,approved
42,186200.99,597,252338.2,0,16.7,14930.16,44,approved
39,52621.83,733,230423.53,1,9.5,4231.1,85,approved
29,32590.87,637,83792.37,0,9.9,2719.25,68,approved
61,193849.06,771,566069.03,3,35.3,16429.07,86,approved
62,59980.27,522,150381.27,0,36.4,5093.11,47,approved
52,176192.88,761,690986.46,1,10.5,15206.84,93,approved
44,49849.37,425,192791.71,0,6.9,4341.83,22,approved
38,104403.44,848,258412.8,0,18.5,8331.5,100,approved
38,82170.47,833,312016.44,3,16.8,6726.94,73,approved
50,108509.13,673,446203.12,0,18.8,8750.17,60,approved
31,45733.89,680,119205.3,0,5.7,3873.99,67,approved
32,124901.93,817,627925.93,1,9.8,10521.24,80,manual_review
56,196745.81,810,1085648.69,2,23.3,16078.96,98,approved
38,51652.18,668,90022.06,1,8.4,4217.51,74,approved
59,69943.05,787,291086.65,2,29.2,5929.07,91,approved
37,70915.56,792,213663.1,1,8.5,6052.22,99,approved
44,52587.84,762,160108.53,1,20.8,4401.86,67,approved
28,58837.38,492,88787.81,1,6.4,4755.51,24,manual_review
45,164560.88,760,427888.14,1,6.2,13954.36,72,approved
62,142511.15,844,590530.3,3,28.4,11398.12,91,approved
31,165142.58,787,420769.53,0,5.3,13783.69,83,approved
34,111116.3,790,260202.93,1,6.5,8911.14,67,approved
56,122671.14,792,405990.46,3,23.1,10048.13,86,approved
22,73779.73,840,312146.15,3,2.3,6050.68,83,approved
38,127490.15,838,564421.25,3,11.9,10675.26,89,approved
25,29300.09,706,86780.75,2,3.4,2517.18,73,manual_review
56,178373.73,656,307592.33,0,6.5,14343.83,80,approved
56,183465.07,737,351174.62,0,14.1,15761.76,78,approved
29,61815.49,581,167560.21,3,6.7,5157.88,42,approved
28,25534.32,708,106027.21,1,6.7,2102.2,87,approved
43,74270.98,735,277145.68,1,23.9,6294.73,80,approved
65,55191.27,825,195279.05,4,38.3,4650.54,85,approved
50,155090.04,811,603610.93,0,22.8,13440.86,85,approved
45,158202.62,798,423386.44,2,13.0,13251.36,75,approved
42,45095.59,716,158221.19,3,19.7,3917.23,72,manual_review
26,37836.86,742,160826.59,3,4.5,3182.77,82,manual_review
53,46906.45,839,190140.95,0,29.6,3986.58,96,approved
36,26502.67,833,102591.1,2,10.7,2139.92,96,approved
61,189462.93,803,383016.7,0,19.7,15932.26,91,approved
34,58327.62,760,253342.41,0,7.2,4778.22,97,approved
48,109516.44,831,534578.18,2,13.3,9474.18,100,approved
59,47859.34,613,108639.76,2,23.8,4161.86,45,manual_review
59,57449.75,593,83620.49,3,28.0,4650.25,53,approved
52,95539.85,849,322597.53,2,13.3,8298.4,100,approved
30,44264.72,706,204184.54,2,4.4,3541.21,81,approved
40,166289.05,760,495545.43,1,17.5,14500.85,79,approved
40,60481.66,838,191410.26,1,18.9,4930.32,87,approved
45,50469.93,722,117024.83,2,16.5,4049.87,65,approved
48,183766.65,711,418286.89,1,29.1,15323.59,85,approved
30,55032.06,624,155278.41,0,4.6,4386.68,47,approved
63,83996.66,743,146559.82,2,22.3,6843.27,84,approved
59,109228.81,667,444937.65,3,34.2,8654.03,64,approved
44,55991.18,779,314295.49,1,14.3,4640.96,100,manual_review
60,70458.81,703,242891.03,2,18.9,5913.99,75,approved
32,78561.89,647,136924.38,2,7.8,6673.9,51,approved
56,72470.56,767,265613.09,2,13.6,5903.73,91,approved
36,78620.6,636,182890.5,2,11.0,6266.18,63,approved
37,67885.87,841,229103.99,4,10.9,5525.56,92,approved
24,40217.21,582,42510.11,2,3.9,3345.35,52,manual_review
57,57297.39,785,160073.35,3,13.7,4904.47,78,approved
42,176520.58,845,397225.81,1,14.1,14270.07,100,approved
35,74783.58,520,143490.04,1,6.0,6319.76,34,approved
56,182270.24,723,289928.38,1,8.4,15688.01,77,approved
65,48003.87,771,104749.66,1,23.2,4065.32,93,approved
27,58880.69,718,109125.45,2,6.3,4679.75,82,approved
36,100145.64,812,232727.52,4,16.2,8618.16,89,approved
61,72942.26,818,333886.05,3,13.0,6152.74,82,approved
44,156095.48,768,653377.81,0,17.2,12643.89,91,approved
28,29801.09,592,30056.23,0,2.3,2527.3,71,approved
23,80766.9,772,365324.76,3,1.9,6807.46,63,approved
55,65626.94,849,330047.13,1,29.5,5505.84,100,approved
22,40398.88,781,78850.93,0,1.3,3201.84,81,approved
38,81235.21,790,150630.06,1,15.8,6695.61,100,approved
23,57541.66,754,222753.7,3,2.8,4705.93,65,approved
26,44994.07,482,133041.55,1,4.4,3863.66,21,approved
26,76091.38,697,194626.69,0,5.3,6258.59,78,approved
60,184093.33,763,603935.41,3,28.4,14722.99,67,approved
44,83713.13,749,197728.71,3,2.3,6851.41,68,manual_review
46,150646.13,800,806782.01,3,24.8,12129.2,72,approved
48,164002.73,778,558384.94,1,26.0,13272.4,100,approved
24,78202.93,736,179482.45,0,2.3,6540.6,77,approved
64,121275.07,821,305655.72,1,16.2,10597.61,100,approved
38,33048.99,628,113913.58,4,14.1,2757.26,48,approved
49,51630.75,488,156895.27,2,23.2,4160.99,31,approved
41,61415.76,373,130362.37,0,18.2,5180.29,9,manual_review
32,137096.72,760,651536.62,2,10.6,11027.63,75,approved
52,112648.59,755,277498.79,1,20.8,9175.24,96,approved
26,56343.36,720,132239.16,3,7.0,4762.36,68,approved
51,159600.58,814,361400.41,1,23.0,12778.51,90,approved
54,47585.18,832,103929.2,2,21.4,4156.16,100,approved
55,65428.22,616,109121.63,2,32.4,5374.04,55,manual_review
48,47513.57,802,88183.56,1,18.4,3868.9,84,approved
52,161500.41,819,742170.66,1,23.3,12956.03,68,approved
51,175079.69,827,472468.16,1,29.0,14085.73,91,approved
55,125382.0,706,306440.0,2,25.1,10421.59,77,approved
48,78196.8,608,157281.46,2,18.5,6755.47,56,approved
50,107943.88,813,410921.63,3,14.9,8960.91,90,approved
57,63423.82,610,89739.07,0,31.4,5440.87,53,approved
36,66549.6,735,280048.2,2,12.9,5445.05,76,approved
46,52957.09,774,242919.1,3,22.4,4629.98,57,approved
37,31256.08,771,145928.39,4,7.5,2537.32,72,approved
60,73809.77,637,118967.47,0,24.1,6253.0,67,approved
55,132680.1,797,456971.09,2,13.3,11134.19,99,approved
35,77522.01,781,410007.85,3,9.0,6573.04,80,approved
62,93540.98,838,433720.71,4,19.6,7953.58,87,approved
33,61676.31,601,109993.11,2,7.4,5008.45,55,approved
64,173246.94,812,689572.21,0,22.3,14950.06,94,approved
24,57047.48,417,70256.57,0,2.8,4535.45,19,manual_review
27,25682.84,640,29852.47,1,5.3,2239.2,85,approved
22,43739.77,750,91075.93,1,2.3,3486.68,91,approved
31,92784.98,835,287045.13,0,6.7,7844.48,99,approved
48,61158.23,748,160798.72,3,16.2,5001.27,77,approved
26,30306.75,589,70285.74,1,1.3,2590.41,40,manual_review
49,182821.76,745,742793.91,3,27.9,15067.53,83,approved
30,64714.34,702,176037.71,3,6.9,5545.29,61,approved
36,49793.18,811,169581.24,4,13.5,4087.17,87,approved
65,143207.98,741,530151.18,2,12.7,12168.6,80,approved
34,59202.13,708,156230.13,3,10.2,4914.8,54,approved
48,57450.04,643,95613.78,0,24.5,4559.43,65,manual_review
32,66853.46,678,175727.29,3,13.4,5484.65,52,approved
22,34102.52,742,66546.23,1,2.1,2844.11,80,approved
31,146231.43,603,303579.7,3,7.8,12772.93,42,approved
44,50754.32,672,144498.5,2,19.8,4050.73,68,approved
64,115653.84,770,220460.1,0,28.5,9207.79,100,approved
46,50098.24,685,187836.6,3,15.4,4113.14,61,approved
27,27304.52,721,81985.88,0,3.6,2363.75,69,approved
28,66178.62,672,129640.03,1,6.5,5579.97,64,approved
35,42828.16,731,139589.26,2,8.7,3609.34,90,approved
23,69514.68,672,86700.63,1,2.9,5959.09,82,manual_review
27,29294.92,313,87027.2,3,4.0,2379.27,4,rejected
41,174729.63,587,328104.21,1,5.2,15095.07,39,approved
29,26712.34,686,98634.9,2,4.1,2261.99,78,manual_review
36,62076.37,790,274844.98,0,8.5,5314.22,88,approved
41,93642.71,809,291895.59,1,18.8,7439.89,89,approved
24,29512.51,760,119513.84,1,4.1,2572.8,99,manual_review
60,77457.63,813,308039.4,0,26.7,6223.63,98,approved
23,71753.7,804,254515.06,3,3.2,5716.84,70,approved
60,195037.31,675,406608.66,2,19.6,16344.28,42,approved
56,83504.46,838,185566.3,1,20.8,7045.32,100,approved
40,67709.5,797,150709.0,1,8.2,5550.2,80,approved
36,88314.08,844,213221.4,3,15.7,7057.69,92,approved
53,48269.19,817,133930.14,1,20.5,3876.84,93,approved
47,66166.45,583,192144.07,2,23.2,5541.5,37,manual_review
51,78368.61,711,178538.39,2,21.4,6546.52,93,approved
