age,salary,credit_score,loan_amount,existing_loans,employment_years,monthly_income,repayment_history,approval_decision
60,164219.65,834,449072.39,1,27.9,14006.73,100,approved
64,57108.42,699,79190.64,3,27.2,4571.54,62,approved
52,71950.03,780,164029.86,2,30.3,5764.37,74,approved
47,59798.66,602,142438.84,3,3.0,4810.15,74,approved
36,79914.93,681,371947.4,3,10.4,6830.46,57,approved
22,42408.1,611,144672.93,0,2.5,3630.9,52,approved
28,42503.74,708,175040.97,1,5.2,3518.38,71,approved
64,95316.81,776,221925.7,2,23.0,7731.48,73,approved
34,26608.86,369,80865.67,2,8.7,2214.86,22,approved
62,121916.55,775,466270.06,1,36.0,9971.83,71,approved
33,48903.17,510,73209.55,3,8.4,4044.84,46,approved
46,180257.14,788,924899.77,1,16.3,15366.45,88,approved
33,52482.27,725,192241.12,3,5.6,4403.69,63,manual_review
28,78255.63,365,80426.34,0,6.4,6439.25,22,approved
43,80713.23,831,377125.59,2,6.1,6985.33,77,approved
47,60115.43,847,290333.05,3,18.5,4944.58,97,approved
42,178092.32,822,942315.59,1,12.5,14154.74,100,approved
57,51013.83,682,121396.39,0,30.4,4193.29,67,approved
26,25805.63,775,61909.03,4,2.5,2155.6,100,approved
58,172457.73,794,539309.03,3,23.1,14838.61,68,approved
63,159184.51,757,334158.16,3,26.8,12613.46,78,approved
38,53299.09,618,136393.37,0,9.9,4273.72,60,approved
62,56498.28,713,118210.73,0,31.1,4559.05,95,approved
60,190734.4,782,511421.13,2,23.2,15802.51,90,approved
58,104671.91,826,433145.65,2,24.1,8644.98,83,approved
51,84417.5,758,274589.7,2,18.7,7320.37,88,approved
23,26467.68,583,61268.56,0,2.7,2279.58,51,manual_review
51,171440.52,816,564404.64,0,29.8,13593.74,90,approved
23,43196.09,800,125516.99,1,2.6,3681.54,95,approved
49,136995.99,797,571789.25,1,21.6,10913.99,95,approved
62,63917.08,816,259703.06,2,25.8,5339.97,100,approved
44,89784.37,803,319604.49,3,26.0,7458.3,81,approved
37,124340.93,798,251035.33,0,11.6,10384.37,97,approved
43,90244.31,790,435411.48,3,9.5,7245.62,70,approved
42,31046.53,741,95360.74,1,8.3,2533.56,76,approved
32,72912.19,792,370720.0,1,14.0,5925.34,77,manual_review
23,38118.97,658,117022.41,0,0.9,3265.27,67,manual_review
35,45703.7,613,122795.86,4,4.9,3954.22,52,approved
65,163722.61,737,334879.94,3,34.0,14109.72,70,approved
27,52961.77,810,227603.5,0,3.3,4469.33,89,approved
44,49409.32,749,222352.18,3,13.4,4053.81,71,approved
29,30680.71,557,60844.16,1,9.0,2473.1,36,approved
32,57291.75,679,111955.45,3,6.7,4980.86,58,manual_review
50,102577.78,706,376821.27,0,14.4,8595.59,83,approved
53,177679.15,746,557475.36,1,26.6,14708.47,78,approved
38,119660.81,679,338495.53,2,9.5,10297.8,69,approved
43,84261.66,674,265984.63,3,14.0,7274.18,68,approved
39,156948.79,747,635577.75,4,12.3,12929.37,89,approved
44,83971.5,793,356421.2,0,16.5,6805.58,76,approved
43,114301.12,769,346664.84,2,16.5,9276.66,85,approved
49,179729.46,703,454683.33,3,21.3,14954.8,71,approved
41,61709.45,750,175438.41,1,6.6,5059.45,87,approved
37,78421.57,784,395902.39,1,11.5,6336.55,89,approved
56,57723.06,605,148814.09,3,25.0,4681.71,30,approved
60,82240.89,742,242264.25,1,28.2,7071.92,93,approved
53,53144.11,708,177714.22,1,27.7,4240.04,88,manual_review
33,29101.88,725,34468.6,2,8.7,2413.64,76,approved
50,76273.61,716,270329.57,2,21.2,6244.09,72,approved
31,50082.13,708,254162.39,0,5.0,4105.8,72,approved
36,195235.99,792,720106.48,2,8.4,16951.36,88,approved
42,187239.84,830,757608.94,2,18.9,15429.18,79,approved
44,162222.12,812,762627.98,3,12.7,14043.5,81,approved
46,84618.87,784,441560.2,3,11.9,7018.24,91,approved
59,150095.47,650,615998.88,0,27.6,12378.47,79,approved
48,47702.19,667,199246.45,3,19.0,3962.68,86,manual_review
22,49143.89,691,111528.11,2,3.1,4001.71,82,approved
31,63873.72,820,163557.46,0,11.0,5341.26,98,approved
22,75638.33,713,195208.71,0,2.6,6328.14,86,approved
23,26841.61,588,58984.21,0,2.7,2279.73,51,manual_review
35,52211.77,808,286502.0,2,10.5,4517.59,95,approved
24,37789.37,697,94125.42,1,1.5,3178.35,82,approved
56,184611.73,803,483712.6,2,19.3,15259.86,97,approved
50,97838.22,760,490643.69,2,13.1,7927.6,78,approved
35,126658.34,779,569973.79,1,16.0,10453.15,89,approved
38,98069.9,842,319742.19,1,15.9,8543.83,100,approved
52,74354.39,678,198276.81,2,24.6,6180.93,82,approved
28,36192.3,605,35584.36,0,7.8,3022.46,47,approved
42,56356.7,687,209120.79,3,18.9,4639.43,37,approved
52,199435.93,707,460081.0,4,16.5,15987.66,64,approved
52,61261.53,846,81020.74,4,14.0,5356.67,92,approved
41,60031.8,700,209249.81,5,9.4,4761.19,62,approved
47,126683.27,692,491524.21,1,14.4,10644.16,77,approved
47,150989.77,777,450312.24,0,25.4,12328.26,98,approved
45,131814.77,761,666406.31,4,12.3,11493.99,84,approved
44,130138.0,842,267229.96,2,15.5,10564.63,99,approved
57,60274.31,744,239828.62,4,30.6,5074.9,77,approved
46,175014.61,802,572500.08,1,21.1,15157.01,83,approved
55,106932.34,823,176273.21,3,25.5,8755.6,82,approved
25,29553.73,670,127171.6,2,3.7,2460.01,78,approved
36,90663.11,675,277696.91,0,11.4,7814.49,55,approved
39,159077.33,699,673860.98,0,9.7,13821.16,81,approved
27,54257.47,621,149489.73,0,8.4,4701.33,57,approved
31,69913.17,655,146765.17,3,8.2,5648.85,70,approved
22,36117.43,328,50635.34,0,1.7,2963.91,10,rejected
60,92927.26,814,363673.21,4,24.8,7833.03,87,approved
65,180372.66,608,192326.04,3,24.6,15721.47,38,approved
60,72182.16,750,226491.23,1,32.9,6206.15,81,approved
38,175952.23,744,360398.1,2,15.2,14886.62,96,approved
33,73905.99,788,225380.83,0,5.1,6376.58,93,approved
65,137876.31,690,414813.98,1,13.2,11628.66,80,approved
50,175481.09,805,343634.61,2,11.4,14413.39,98,approved
64,84588.92,790,403781.5,0,19.3,7073.72,80,approved
65,53323.21,628,101911.24,4,22.2,4630.22,68,manual_review
43,45893.8,824,96017.33,0,22.4,3750.61,80,approved
28,35299.65,680,105902.1,3,4.6,2927.86,51,manual_review
35,114009.83,819,573829.83,3,17.0,9628.01,81,approved
23,49571.79,591,78801.77,2,4.5,4272.66,61,approved
29,72434.9,772,212539.33,2,7.5,6074.62,90,approved
26,30471.69,768,128747.45,1,1.0,2626.15,72,manual_review
58,107352.44,812,320633.93,0,23.8,9065.4,82,approved
60,61054.7,514,78893.39,0,37.3,5259.4,51,approved
22,34797.88,641,34146.93,1,3.3,2991.92,77,approved
38,57087.42,656,189303.91,0,2.9,4521.03,69,approved
24,29639.7,750,56753.68,2,2.6,2514.99,86,approved
62,82548.43,795,201842.22,4,39.4,6608.96,78,approved
38,126594.44,820,227222.55,3,20.0,10096.86,77,approved
61,60334.07,711,230700.78,0,14.1,5063.53,71,approved
61,155392.6,727,264740.68,1,13.5,12853.07,80,approved
62,49681.66,329,40665.19,1,27.8,4054.27,14,approved
41,75857.59,500,83293.19,0,20.9,6581.2,36,approved
55,135196.05,693,434523.76,4,17.5,11087.82,52,approved
23,50271.47,623,81716.86,1,2.5,4095.62,61,manual_review
48,71570.36,836,289564.14,1,27.5,6090.05,100,approved
44,30466.25,629,68374.64,0,9.0,2477.42,62,approved
48,92762.64,701,146757.5,1,16.6,7810.8,51,approved
34,38242.55,660,117639.42,0,3.9,3101.04,56,manual_review
35,43144.81,822,128919.49,3,8.1,3474.32,84,approved
40,57563.62,646,121293.18,2,14.5,4655.19,62,manual_review
58,99310.69,762,306561.32,5,31.1,7976.24,81,approved
28,29925.31,784,121884.31,0,4.9,2566.02,100,manual_review
45,56509.86,802,131548.2,0,23.1,4939.45,69,approved
39,51905.63,730,129177.83,1,10.1,4297.81,62,approved
59,82834.14,684,347169.04,4,20.6,6613.42,53,manual_review
54,128835.13,844,540447.1,4,11.0,10205.04,84,approved
53,83264.47,828,354116.72,1,18.1,6803.77,100,approved
51,192845.58,630,326331.04,2,14.5,16419.49,55,approved
52,65881.94,673,258495.31,1,19.4,5399.64,52,approved
61,178037.13,781,739206.8,1,23.2,15201.03,85,approved
